timestamp target_q_0 target_q_1 target_q_2 target_q_3 target_q_4 target_q_5 target_qd_0 target_qd_1 target_qd_2 target_qd_3 target_qd_4 target_qd_5 target_qdd_0 target_qdd_1 target_qdd_2 target_qdd_3 target_qdd_4 target_qdd_5 target_TCP_pose_0 target_TCP_pose_1 target_TCP_pose_2 target_TCP_pose_3 target_TCP_pose_4 target_TCP_pose_5 target_TCP_speed_0 target_TCP_speed_1 target_TCP_speed_2 target_TCP_speed_3 target_TCP_speed_4 target_TCP_speed_5
0.0 0.0 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.29514999999999997 -0.11234999999999999 0.4809 -1.2091995761561454 1.2091995761561456 -1.2091995761561458 0.0 0.0 0.0 0.0 0.0 0.0 
0.008 3.2e-05 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.008 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.29515359504888256 -0.11234055514247841 0.4809 -1.2092147055764364 1.2091760113249628 -1.209176011324963 0.0008987244411398273 0.0023612287603910604 0.0 0.0 0.0 0.008 
0.016 0.000128 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.016 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.29516437838209186 -0.11231221987973197 0.4809 -1.2092600917893326 1.209105316402997 -1.2091053164029972 0.0017969955180757117 0.00472263005411347 0.0 0.0 0.0 0.016 
0.024 0.000288 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.024 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.295182344559092 -0.11226499214179592 0.4809 -1.2093357286510245 1.2089874901051165 -1.2089874901051167 0.002694359811403102 0.007084376269418208 0.0 0.0 0.0 0.024 
0.032 0.000512 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.032 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2952074845115868 -0.1121988684806635 0.4809 -1.2094416059222521 1.2088225302898576 -1.2088225302898579 0.0035903637913812323 0.009446639504370778 0.0 0.0 0.0 0.032 
0.04 0.0008 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.04 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2952397855424178 -0.11211384407318803 0.4809 -1.209577709268942 1.2086104339600623 -1.2086104339600627 0.004484553762927521 0.011809591421696713 0.0 0.0 0.0 0.04 
0.048 0.001152 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.048 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2952792313240216 -0.11200991272514643 0.4809 -1.2097440202630958 1.2083511972637653 -1.2083511972637655 0.005376475810807029 0.014173403103553039 0.0 0.0 0.0 0.048 
0.056 0.0015680000000000002 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.056 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.29532580189645036 -0.11188706687646495 0.4809 -1.2099405163839287 1.208044815495334 -1.2080448154953343 0.006265675745082037 0.01653824490620122 0.0 0.0 0.0 0.056 
0.064 0.002048 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.064 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.295379473664957 -0.11174529760760826 0.4809 -1.21016717101927 1.2076912830968698 -1.20769128309687 0.007151699046886929 0.018904286314557248 0.0 0.0 0.0 0.064 
0.072 0.0025920000000000006 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.07200000000000001 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2954402193971484 -0.11158459464713222 0.4809 -1.2104239534672074 1.2072905936598501 -1.2072905936598504 0.00803409081459352 0.021271695796594686 0.0 0.0 0.0 0.07200000000000001 
0.08 0.0032 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.08 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.295508008219709 -0.11140494638040258 0.4809 -1.2107108289379842 1.2068427399270305 -1.206842739927031 0.008912395710432206 0.023640640657576723 0.0 0.0 0.0 0.08 
0.088 0.0038719999999999996 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.088 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2955828056147004 -0.11120633985948025 0.4809 -1.2110277585561553 1.206347713794597 -1.2063477137945973 0.009786157907634261 0.026011286894093634 0.0 0.0 0.0 0.088 
0.096 0.004608 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.096 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2956645734154394 -0.11098876081417536 0.4809 -1.2113746993629853 1.2058055063145694 -1.2058055063145698 0.010654921038160835 0.028383799047882182 0.0 0.0 0.0 0.096 
0.104 0.005408000000000001 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.10400000000000001 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.29575326980196126 -0.11075219366427147 0.4809 -1.211751604319099 1.2052161076974512 -1.2052161076974515 0.011518228141084235 0.030758340059403973 0.0 0.0 0.0 0.10400000000000001 
0.112 0.006272000000000001 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.112 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.29584884929607225 -0.11049662153292249 0.4809 -1.212158422307384 1.204579507315135 -1.2045795073151353 0.012375621611687319 0.03313507112116009 0.0 0.0 0.0 0.112 
0.12 0.0072 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.12 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2959512627559985 -0.1102220262612239 0.4809 -1.212595098136135 1.203895693704051 -1.2038956937040513 0.013226643151346869 0.035514151530719816 0.0 0.0 0.0 0.12 
0.128 0.008192 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.128 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.29606045737063685 -0.10992838842396122 0.4809 -1.2130615725424498 1.2031646545685644 -1.2031646545685646 0.014070833718267036 0.03789573854344152 0.0 0.0 0.0 0.128 
0.136 0.009248000000000001 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.136 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.29617637665341584 -0.10961568734653783 0.4809 -1.2135577821958687 1.202386376784623 -1.2023863767846232 0.014907733479129145 0.040279987224864554 0.0 0.0 0.0 0.136 
0.144 0.010368000000000002 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.14400000000000002 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2962989604357729 -0.10928390112308517 0.4809 -1.2140836597022584 1.201560846403644 -1.2015608464036442 0.015736881761724265 0.04266705030275131 0.0 0.0 0.0 0.14400000000000002 
0.152 0.011552 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.152 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2964281448602577 -0.10893300663575797 0.4809 -1.2146391336079376 1.2006880486566487 -1.200688048656649 0.016557817008635213 0.04505707801875917 0.0 0.0 0.0 0.152 
0.16 0.0128 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.16 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2965638623732683 -0.1085629795752177 0.4809 -1.2152241284040484 1.1997679679586404 -1.1997679679586406 0.01737007673203483 0.04745021797972293 0.0 0.0 0.0 0.16 
0.168 0.014112000000000001 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.168 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2967060417174319 -0.1081737944623074 0.4809 -1.2158385645311605 1.1988005879132215 -1.1988005879132217 0.018173197469667644 0.049846615008528564 0.0 0.0 0.0 0.168 
0.176 0.015487999999999998 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.176 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2968546079236366 -0.10776542467092122 0.4809 -1.21648235838412 1.1977858913174522 -1.1977858913174524 0.018966714742082134 0.05224641099456004 0.0 0.0 0.0 0.176 
0.184 0.016928 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.184 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2970094823027274 -0.10733784245207202 0.4809 -1.2171554223171324 1.1967238601669474 -1.1967238601669477 0.01975016301118125 0.054649744743701836 0.0 0.0 0.0 0.184 
0.192 0.018432 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.192 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2971705824368762 -0.10689101895916102 0.4809 -1.217857664649078 1.195614475661211 -1.1956144756612113 0.020523075640158917 0.05705675182788023 0.0 0.0 0.0 0.192 
0.2 0.020000000000000004 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.2 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.29733782217063637 -0.10642492427445274 0.4809 -1.2185889896690676 1.194457718209207 -1.1944577182092075 0.02128498485489055 0.059467564434127276 0.0 0.0 0.0 0.2 
0.208 0.021632000000000005 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.20800000000000002 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.29751111160169463 -0.10593952743675973 0.4809 -1.2193492976422196 1.1932535674351608 -1.193253567435161 0.022035421706846026 0.06188231121315249 0.0 0.0 0.0 0.20800000000000002 
0.216 0.023327999999999998 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.216 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2976903570713333 -0.1054347964703403 0.4809 -1.2201384848156724 1.192002002184595 -1.1920020021845952 0.022773916037593506 0.06430111712740799 0.0 0.0 0.0 0.216 
0.224 0.025088000000000003 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.224 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2978754611546139 -0.1049106984150143 0.4809 -1.2209564434248221 1.1907030005305959 -1.190703000530596 0.023499996444963204 0.06672410329863351 0.0 0.0 0.0 0.224 
0.232 0.026912000000000002 -1.5707963267948966 -1.5707963267948966 0.0 1.5707963267948966 0.0 0.232 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.2980663226502984 -0.10436719935750016 0.4809 -1.2218030616997861 1.1893565397803083 -1.1893565397803085 0.02421319025094004 0.06915138685486924 0.0 0.0 0.0 0.232 
